date,USD,EUR,GBP,CHF,SEK,NOK,DKK,CAD
27790.00,1.00,0.76,2.03,,,,,
27819.00,1.00,0.77,1.92,,,,,
27850.00,1.00,0.77,1.84,,,,,
27880.00,1.00,0.75,1.76,,,,,
27911.00,1.00,0.76,1.79,,,,,
27941.00,1.00,0.77,1.79,,,,,
27972.00,1.00,0.77,1.78,,,,,
28003.00,1.00,0.80,1.66,,,,,
28033.00,1.00,0.80,1.59,,,,,
28064.00,1.00,0.81,1.65,,,,,
28094.00,1.00,0.83,1.70,,,,,
28125.00,1.00,0.81,1.72,,,,,
28156.00,1.00,0.82,1.71,,,,,
28184.00,1.00,0.82,1.72,,,,,
28215.00,1.00,0.83,1.72,,,,,
28245.00,1.00,0.83,1.72,,,,,
28276.00,1.00,0.84,1.72,,,,,
28306.00,1.00,0.84,1.74,,,,,
28337.00,1.00,0.84,1.74,,,,,
28368.00,1.00,0.84,1.75,,,,,
28398.00,1.00,0.87,1.84,,,,,
28429.00,1.00,0.88,1.82,,,,,
28459.00,1.00,0.93,1.92,,,,,
28490.00,1.00,0.93,1.95,,,,,
28521.00,1.00,0.97,1.94,,,,,
28549.00,1.00,0.98,1.86,,,,,
28580.00,1.00,0.98,1.82,,,,,
28610.00,1.00,0.93,1.83,,,,,
28641.00,1.00,0.94,1.86,,,,,
28671.00,1.00,0.96,1.93,,,,,
28702.00,1.00,0.98,1.94,,,,,
28733.00,1.00,1.01,1.98,,,,,
28763.00,1.00,1.11,2.08,,,,,
28794.00,1.00,1.01,1.94,,,,,
28824.00,1.00,1.07,2.04,,,,,
28855.00,1.00,1.04,1.99,,,,,
28886.00,1.00,1.06,2.02,,,,,
28914.00,1.00,1.05,2.06,,,,,
28945.00,1.00,1.03,2.07,,,,,
28975.00,1.00,1.02,2.07,,,,,
29006.00,1.00,1.06,2.18,,,,,
29036.00,1.00,1.07,2.25,,,,,
29067.00,1.00,1.07,2.25,,,,,
29098.00,1.00,1.12,2.20,,,,,
29128.00,1.00,1.08,2.07,,,,,
29159.00,1.00,1.13,2.20,,,,,
29189.00,1.00,1.13,2.22,,,,,
29220.00,1.00,1.12,2.27,,,,,
29251.00,1.00,1.10,2.27,,,,,
29280.00,1.00,1.00,2.16,,,,,
29311.00,1.00,1.09,2.26,,,,,
29341.00,1.00,1.10,2.34,,,,,
29372.00,1.00,1.11,2.36,,,,,
29402.00,1.00,1.10,2.34,,,,,
29433.00,1.00,1.09,2.40,,,,,
29464.00,1.00,1.08,2.39,,,,,
29494.00,1.00,1.03,2.44,,,,,
29525.00,1.00,1.02,2.36,,,,,
29555.00,1.00,0.99,2.39,,,,,
29586.00,1.00,0.92,2.37,,,,,
29617.00,1.00,0.92,2.20,,,,,
29645.00,1.00,0.93,2.23,,,,,
29676.00,1.00,0.88,2.14,,,,,
29706.00,1.00,0.84,2.07,,,,,
29737.00,1.00,0.82,1.93,,,,,
29767.00,1.00,0.79,1.84,,,,,
29798.00,1.00,0.80,1.85,,,,,
29829.00,1.00,0.84,1.80,,,,,
29859.00,1.00,0.87,1.86,,,,,
29890.00,1.00,0.89,1.96,,,,,
29920.00,1.00,0.87,1.92,,,,,
29951.00,1.00,0.84,1.88,,,,,
29982.00,1.00,0.82,1.82,,,,,
30010.00,1.00,0.81,1.78,,,,,
30041.00,1.00,0.81,1.79,,,,,
30071.00,1.00,0.83,1.79,,,,,
30102.00,1.00,0.79,1.74,,,,,
30132.00,1.00,0.79,1.74,,,,,
30163.00,1.00,0.79,1.72,,,,,
30194.00,1.00,0.79,1.69,,,,,
30224.00,1.00,0.76,1.68,,,,,
30255.00,1.00,0.79,1.63,,,,,
30285.00,1.00,0.82,1.62,,,,,
30316.00,1.00,0.79,1.52,,,,,
30347.00,1.00,0.80,1.51,,,,,
30375.00,1.00,0.80,1.48,,,,,
30406.00,1.00,0.79,1.56,,,,,
30436.00,1.00,0.77,1.60,,,,,
30467.00,1.00,0.77,1.53,,,,,
