date,S&P500,FTSE100,DAX40
33700.00,404.29,2572.60,1736.06
33707.00,416.05,2638.60,1749.23
33714.00,409.02,2643.00,1745.70
33721.00,412.53,2659.80,1734.02
33728.00,416.05,2725.70,1748.17
33735.00,410.09,2682.60,1724.06
33742.00,414.02,2714.30,1802.96
33749.00,415.35,2707.60,1802.36
33756.00,413.48,2668.50,1789.06
33763.00,409.76,2603.70,1782.26
33770.00,403.67,2584.80,1772.88
33777.00,403.45,2534.10,1754.12
33784.00,411.77,2497.10,1776.98
33791.00,414.62,2490.80,1754.48
33798.00,415.62,2431.90,1702.65
33805.00,411.60,2377.20,1610.41
33812.00,424.22,2399.60,1615.42
33819.00,418.88,2350.10,1609.50
33826.00,419.91,2356.80,1547.79
33833.00,414.85,2365.70,1520.01
33840.00,414.84,2312.60,1516.47
33847.00,417.08,2362.20,1536.50
33854.00,419.58,2370.90,1527.79
33861.00,422.92,2567.00,1589.33
33868.00,414.35,2601.00,1513.36
33875.00,410.47,2549.70,1478.03
33882.00,402.66,2541.20,1439.65
33889.00,411.73,2563.90,1461.61
33896.00,414.10,2669.70,1526.81
33903.00,418.68,2658.30,1492.31
33910.00,417.58,2702.70,1487.15
33917.00,422.43,2697.50,1548.51
33924.00,426.65,2732.40,1544.75
33931.00,430.16,2760.10,1522.95
33938.00,432.06,2759.40,1522.15
33945.00,433.73,2716.20,1476.00
33952.00,441.28,2789.70,1492.03
33959.00,439.77,2827.50,1526.95
33966.00,435.71,2846.50,1545.04
33973.00,429.05,2799.20,1531.52
33980.00,437.15,2765.10,1544.55
33987.00,436.11,2781.20,1587.64
33994.00,438.78,2807.20,1571.85
34001.00,448.93,2862.90,1641.37
34008.00,444.58,2843.00,1661.43
34015.00,434.22,2840.00,1677.39
34022.00,443.38,2868.00,1684.35
34029.00,446.11,2922.10,1682.81
34036.00,449.83,2915.90,1707.14
34043.00,450.18,2900.10,1698.81
34050.00,447.77,2852.90,1661.29
34057.00,441.38,2869.90,1661.75
34064.00,441.84,2821.80,1655.73
34071.00,448.94,2824.40,1678.85
34078.00,437.03,2843.80,1657.10
34085.00,440.19,2813.10,1627.18
34092.00,442.31,2793.70,1611.92
34099.00,439.56,2847.00,1634.51
34106.00,445.84,2812.20,1610.59
34113.00,450.21,2840.70,1631.85
34120.00,450.06,2829.90,1637.85
34127.00,447.26,2861.80,1680.98
34134.00,443.68,2879.40,1686.90
34141.00,447.60,2887.50,1695.24
34148.00,445.84,2857.70,1697.81
