date,EUR,USD,GBP
1995-01-01,0.0637,0.0571,
1995-02-01,0.0636,0.0577,
1995-03-01,0.0742,0.0573,
1995-04-01,0.0714,0.0565,
1995-05-01,0.0701,0.0567,
1995-06-01,0.0705,0.0547,
1995-07-01,0.0686,0.0542,
1995-08-01,0.0663,0.054,
1995-09-01,0.0648,0.0528,
1995-10-01,0.0669,0.0528,
1995-11-01,0.0642,0.0536,
1995-12-01,0.0638,0.0514,
1996-01-01,0.0587,0.05,
1996-02-01,0.0563,0.0483,
1996-03-01,0.055,0.0496,
1996-04-01,0.0532,0.0495,
1996-05-01,0.0515,0.0502,
1996-06-01,0.0511,0.0509,
1996-07-01,0.0509,0.0515,
1996-08-01,0.0507,0.0505,
1996-09-01,0.0484,0.0509,
1996-10-01,0.0471,0.0499,
1996-11-01,0.0459,0.0503,
1996-12-01,0.046,0.0491,
1997-01-01,0.0447,0.0503,0.059004545
1997-02-01,0.0448,0.0501,0.05985
1997-03-01,0.0451,0.0514,0.059650684
1997-04-01,0.0438,0.0516,0.059618318
1997-05-01,0.043,0.0505,0.0621538
1997-06-01,0.0429,0.0493,0.062226619
1997-07-01,0.0429,0.0505,0.065191739
1997-08-01,0.0432,0.0514,0.0694882
1997-09-01,0.0427,0.0495,0.069771818
1997-10-01,0.0439,0.0497,0.071462261
1997-11-01,0.044,0.0514,0.0722691
1997-12-01,0.0435,0.0516,0.071378619
1998-01-01,0.0425,0.0504,0.072678905
1998-02-01,0.0424,0.0509,0.0734063
1998-03-01,0.0414,0.0503,0.074033136
1998-04-01,0.0412,0.0495,0.0725185
1998-05-01,0.0407,0.05,0.072595632
1998-06-01,0.0402,0.0498,0.071409364
1998-07-01,0.0394,0.0496,0.073282696
1998-08-01,0.0394,0.049,0.075309
1998-09-01,0.0396,0.0461,0.072790136
1998-10-01,0.0386,0.0396,0.075534364
1998-11-01,0.0367,0.0441,0.068577476
1998-12-01,0.0344,0.0439,0.063749619
1999-01-01,0.031583,0.0434,0.05992205
1999-02-01,0.031264,0.0444,0.05769335
1999-03-01,0.030548,0.0444,0.055665043
1999-04-01,0.026947,0.0429,0.0532949
1999-05-01,0.025661,0.045,0.052688842
1999-06-01,0.026055,0.0457,0.048971818
1999-07-01,0.026345,0.0455,0.049970045
1999-08-01,0.026135,0.0472,0.048419286
1999-09-01,0.025835,0.0468,0.049190136
1999-10-01,0.027629,0.0486,0.050623333
1999-11-01,0.030607,0.0507,0.052513409
1999-12-01,0.035094,0.052,0.0478135
2000-01-01,0.031502,0.0532,0.0535265
2000-02-01,0.033591,0.0555,0.058408095
2000-03-01,0.035892,0.0569,0.057620043
2000-04-01,0.037909,0.0566,0.059347333
2000-05-01,0.041632,0.0579,0.059122048
2000-06-01,0.043702,0.0569,0.059031727
2000-07-01,0.044077,0.0596,0.059867048
2000-08-01,0.045743,0.0609,0.058846227
2000-09-01,0.046977,0.06,0.06125881
2000-10-01,0.04854,0.0611,0.058135
2000-11-01,0.049249,0.0617,0.059811136
2000-12-01,0.049483,0.0577,0.057383421
2001-01-01,0.048049,0.0515,0.059208136
2001-02-01,0.047996,0.0488,0.0584467
2001-03-01,0.047761,0.0442,0.054016864
2001-04-01,0.047799,0.0387,0.053159158
2001-05-01,0.046634,0.0362,0.055202667
2001-06-01,0.0453,0.0349,0.04779619
2001-07-01,0.045247,0.0351,0.052942636
2001-08-01,0.044647,0.0336,0.048046273
2001-09-01,0.040508,0.0264,0.0485262
2001-10-01,0.037189,0.0216,0.045973391
2001-11-01,0.034267,0.0187,0.035760682
2001-12-01,0.034182,0.0169,0.045840842
2002-01-01,0.03348,0.0165,0.037684818
2002-02-01,0.033363,0.0172,0.04057355
2002-03-01,0.033456,0.0179,0.04043145
2002-04-01,0.033357,0.0171,0.037519571
2002-05-01,0.03374,0.0173,0.039272864
2002-06-01,0.033835,0.017,0.035005778
2002-07-01,0.033612,0.0168,0.03861013
2002-08-01,0.033328,0.0162,0.04137119
2002-09-01,0.033174,0.0163,0.038711143
2002-10-01,0.03306,0.0158,0.040884261
2002-11-01,0.032312,0.0123,0.036521
2002-12-01,0.029799,0.0119,0.043953
2003-01-01,0.028548,0.0117,0.038044182
2003-02-01,0.027748,0.0117,0.0372426
2003-03-01,0.02601,0.0113,0.039196143
2003-04-01,0.025762,0.0113,0.03618975
2003-05-01,0.025204,0.0107,0.0368751
2003-06-01,0.02177,0.0092,0.036535048
2003-07-01,0.021306,0.009,0.032923478
2003-08-01,0.021223,0.0095,0.0350528
2003-09-01,0.02126,0.0094,0.035178864
2003-10-01,0.021001,0.0092,0.033550043
2003-11-01,0.020868,0.0093,0.03548345
2003-12-01,0.021315,0.009,0.037777524
2004-01-01,0.020759,0.0088,0.037158571
2004-02-01,0.020606,0.0093,0.0408732
2004-03-01,0.020428,0.0094,0.039039783
2004-04-01,0.020523,0.0094,0.03891415
2004-05-01,0.02061,0.0102,0.042029684
2004-06-01,0.020762,0.0127,0.043627636
2004-07-01,0.020755,0.0133,0.0446225
2004-08-01,0.02077,0.0148,0.046299857
2004-09-01,0.020778,0.0165,0.047314409
2004-10-01,0.020862,0.0176,0.047297476
2004-11-01,0.021101,0.0207,0.047407818
2004-12-01,0.02167,0.0219,0.047618095
2005-01-01,0.02111,0.0233,0.04759925
2005-02-01,0.021039,0.0254,0.04816025
2005-03-01,0.02103,0.0274,0.047618333
2005-04-01,0.021047,0.0278,0.048124952
2005-05-01,0.021041,0.0284,0.0470785
2005-06-01,0.021039,0.0297,0.047934955
2005-07-01,0.021064,0.0322,0.047546333
2005-08-01,0.021126,0.0344,0.045774773
2005-09-01,0.021152,0.0342,0.045499455
2005-10-01,0.021209,0.0371,0.044246476
2005-11-01,0.022225,0.0388,0.045458273
2005-12-01,0.024112,0.0389,0.04638095
2006-01-01,0.023885,0.0424,0.044828857
2006-02-01,0.024586,0.0443,0.0442546
2006-03-01,0.026333,0.0451,0.045402304
2006-04-01,0.026489,0.046,0.044928111
2006-05-01,0.026926,0.0472,0.045092762
2006-06-01,0.028691,0.0479,0.045711955
2006-07-01,0.029389,0.0495,0.045458524
2006-08-01,0.030941,0.0496,0.048025864
2006-09-01,0.031572,0.0481,0.047892048
2006-10-01,0.033501,0.0492,0.048255136
2006-11-01,0.034214,0.0494,0.049967636
2006-12-01,0.0364,0.0485,0.050843526
2007-01-01,0.036159,0.0498,0.052230727
2007-02-01,0.036511,0.0503,0.05318275
2007-03-01,0.038439,0.0494,0.053032136
2007-04-01,0.03859,0.0487,0.052915316
